용기내서 새해인사 했네 이제 연락하지 마세요.,0,"['용기', '내', '새', '해인사', '하', '이제', '연락', '말']","['PS', 'O', 'AM', 'AF', 'PS', 'O', 'O', 'AM']",기타
오늘 마지막 인사를 하러가네 미련없길 바랄게요.,0,"['오늘', '마지막 인사', '하', '가', '미련', '없', '바라']","['DT', 'O', 'PS', 'PS', 'O', 'O', 'PS']",기타
오늘 마지막 인사하러 갑니다. 미련없이 정리했긴 바랍니다.,0,"['오늘', '마지막 인사', '가', '미련', '없이', '정리', '바라']","['DT', 'O', 'PS', 'O', 'O', 'O', 'PS']",기타
방가방가,0,"['방', '가방']","['PS', 'O']",기타
하이루,0,"['하', '이루']","['PS', 'PS']",기타
반갑,0,"['반', '갑']","['QT', 'PS']",기타
이제 거리 어디를 나서나 봄기운을 확연히 느낄 수 있는 계절입니다.,0,"['이제', '거리', '어디', '나서', '봄기운', '확연히', '느끼', '수', '있', '계절', '이']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'DT', 'O', 'PS', 'PS']",매장정보
일상의 단조로움을 환하게 밝혀주는 희망의 봄이 찾아왔습니다.,0,"['일상', '단조롭', '환하', '밝히', '주', '희망', '봄이', '찾아오']","['OG', 'O', 'O', 'O', 'PS', 'PS', 'PS', 'O']",기타
거리마다 개나리 등 봄꽃들이 마중나와 환한 웃음을 짓게하는 사랑스런 계절 봄이 왔습니다.,0,"['거리', '개나리', '등', '봄꽃', '마중', '나오', '환하', '웃음', '짓', '하', '사랑', '계절', '봄이', '오']","['O', 'PT', 'AM', 'PT', 'O', 'PS', 'O', 'O', 'PS', 'PS', 'AF', 'PS', 'PS', 'PS']",기타
버들강아지 곱게 물이 오른 새봄의 기운 느끼시나요?,0,"['버들강아지', '곱', '물', '오르', '새봄', '기운', '느끼']","['PT', 'B_FOOD', 'B_FOOD', 'PS', 'PS', 'O', 'O']",기타
