애버랜드점,LC
에버랜드,LC
애버랜드,LC
광명AK,LC
광명,LC
AK점,LC
현대백화점중동점,LC
현대백화점 중동,LC
부천점,LC
프리타스 피쉬 & 칩스,B_FOOD
쉬림프 & 소시지 포솔레,B_FOOD
립아이 스테이크 & 쉬림프,B_FOOD
치폴레 화이타치킨 싸이,B_FOOD
슈페리어,B_FOOD
토마토 함박 스테이크 & 필라프,B_FOOD
치킨 텐더,B_FOOD
비어버켓 피쉬 & 칩스 세트,B_FOOD
비어버켓 빅플래터 세트,B_FOOD
패밀리 세트,B_FOOD
패밀리 세트,B_FOOD
커플 세트,B_FOOD
커플 세트,B_FOOD
구아카몰 버거,B_FOOD
블랑코 퀘소 버거,B_FOOD
츄러스 & 아이스크림  &,B_FOOD
아이스크림,B_FOOD
와인,B_FOOD
수신거부,O
고객만족도,O
기념일,O
생일,O
쿠폰,O
재결제,O
상품권,O
토마토 함박 스테이크 & 필라프,B_FOOD
비어버켓 피쉬 & 칩스 세트,B_FOOD
D 패밀리 세트,B_FOOD
C 패밀리 세트,B_FOOD
B 커플 세트,B_FOOD
A 커플 세트,B_FOOD
